WSID,Water System Name,History of E. coli Presence,Increasing Presence of Water Quality Trends Toward MCL,Treatment Technique Violations,Past Presence on the HR2W List,Maximum Duration of High Potential Exposure (HPE),Percentage of Sources Exceeding an MCL,Number of Water Sources ,Presence of Interties,Water Source Types,DWR – Drought & Water Shortage Risk Assessment Results,Critically Overdrafted Groundwater Basin,Percent of Median Household Income (%MHI),Extreme Water Bill,Percent Shutoffs,Number of Service Connections,Operator Certification Violations,Monitoring and Reporting Violations,Significant Deficiencies,Extensive Treatment Installed,Final At-Risk List
CA3400107,RIVER'S EDGE MARINA & RESORT,0,0,0,0,0.25,0,1,1,1,0,1, , ,0,1,0,0,0,0,At-Risk
CA3400121,EL DORADO MOBILE HOME PARK,0,0,0,0,0,0,0,1,0,0,1,0, ,0,1,0,0,0,0,Not At-Risk
CA3400122,EL DORADO WEST MHP,0,0,0,0,0,0,1,1,1,0,1,0, ,0,1,0,0,0,0,Potentially At-Risk
CA3400125,FREEPORT MARINA,0,0,0,0.5,0.25,0,0,1,0,0,1, , ,0,1,0,0,0,0,HR2W
CA3400128,HAPPY HARBOR (SWS),0,0.25,0,0,0.25,0,1,1,1,0.25,1, , ,0,1,0,0,0,0,At-Risk
CA3400130,THE COURTLAND GROUP,0,0.5,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,HR2W
CA3400135,KORTHS PIRATES LAIR,0,0.25,0,0,0,1,1,1,1,0,1, ,0,0,1,0,0,0,0,At-Risk
CA3400137,LINCOLN CHAN-HOME RANCH,0,0.5,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,At-Risk
CA3400138,LOCKE WATER WORKS CO [SWS],0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,HR2W
CA3400149,RANCHO MARINA,0,0.25,0,0,1,1,1,1,1,0,1, ,0,0,1,0,0,0,0,At-Risk
CA3400150,DELTA CROSSING MHP,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3400155,SEQUOIA WATER ASSOC,0,0,0,0,0.25,0,1,1,1,0,1,0, ,0,1,0,0,0,0,Potentially At-Risk
CA3400156,SOUTHWEST TRACT W M D [SWS],0,0,0,0,1,0,1,0,0.5, ,1,0,0,0,1,0,0,0,0,At-Risk
CA3400164,"VIEIRA'S RESORT, INC",0,0.25,0,0,1,1,0,1,0,0,1, , ,0,1,0,0,0,0,HR2W
CA3400169,SPINDRIFT MARINA,0,0.5,0,0,0.5,1,1,1,1,0,1,0, ,0,1,0,0,0,0,At-Risk
CA3400172,TOKAY PARK WATER CO,0,0,0,0,0.25,0,1,1,1,1,1,0, ,0,1,0,0,0,0,At-Risk
CA3400179,MC CLELLAN MHP,0,0,0,0,0,0,0,1,0,0,1,0, ,0,1,0,0,0,0,Not At-Risk
CA3400181,LAGUNA DEL SOL INC,0,0.5,0,0,0.25,1,0,1,0,0,0, ,0,0,1,0,0,0,0,At-Risk
CA3400190,IMPERIAL MANOR MOBILEHOME COMMUNITY,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3400191,ELEVEN OAKS MOBILE HOME COMMUNITY,0,0.5,0,0,0,0,0,1,0,0,1,0, ,0,1,0,0,0,0,Not At-Risk
CA3400192,TUNNEL TRAILER PARK,0,0.25,0,0,0.25,0,1,1,1,0.25,1,0, ,0,1,0,0,0,0,At-Risk
CA3400217,HOMETOWN COLONIAL ESTATES LLC,0,0,0,0,0,0,0,1,0, ,0, ,0,0,1,0,0,0,0,Not At-Risk
CA3400229,RIO COSUMNES CORRECTIONAL CENTER [SWS],0,0.5,0,0,0.25,1,0,1,0,0,1, ,0,0,1,0,0,0,1,At-Risk
CA3400248,FRANKLIN ELEMENTARY SCHOOL,0,0.5,0,0, ,1,1,1,1, ,0, , ,0,1,0,0,0,0,At-Risk
CA3400250,PLEASANT GROVE ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1, ,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA3400251,SIERRA ENTERPRISE ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1, ,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA3400253,COSUMNES RIVER ELEMENTARY SCHOOL,0,0,0,0, ,0,0,1,0, ,0, , ,0,1,0,0,0,0,Not At-Risk
CA3400254,DILLARD ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1, ,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA3400259,GRANT HIGH SCHOOL [SWS],0,0,0,0, ,0,1,1,1, ,0, , , ,1,0,0,0,0,Potentially At-Risk
CA3400267,BATES ELEMENTARY SCHOOL,0,0.5,0,0, ,1,0,1,0, ,0, , ,0,1,0,0,0,0,At-Risk
CA3400268,WALNUT GROVE ELEMENTARY SCHOOL,0,0,0,0, ,1,1,1,1, ,0, , ,0,1,0,0,0,0,At-Risk
CA3400271,ARCOHE ELEM SCHOOL - MAIN CAMPUS,0,0,0,0, ,0,0,1,0, ,0, ,0,0,1,0,0,0,0,Not At-Risk
CA3400296,TRAVEL LODGE MOBILE HOME PARK,0,0,0,0,0,0,0,1,0,0,1,0, ,0,1,0,0,0,0,Not At-Risk
CA3400331,WESTERNER MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3400335,HOLIDAY MOBILE VILLAGE,0,0,0,0,0.25,0,0,1,0,0,1,0, ,0,1,0,0,0,0,Not At-Risk
CA3400391,BRADSHAW CHRISTIAN SCHOOL,0,0,0,0, ,1,1,1,1, ,0, ,0,0,1,0,0,0,0,At-Risk
CA3400397,LAGUNA VILLAGE RV PARK,0,0,0,0,0,0,1,1,1,0.25,1,0, ,0,1,0,0,0,0,Potentially At-Risk
CA3400401,PLANTATION MOBILE HOME PARK,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,At-Risk
CA3400433,EDGEWATER MOBILE HOME PARK,0,0,0,0.5,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,At-Risk
CA3410002,SCWA - ARDEN PARK VISTA,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3410003,GOLDEN STATE WATER CO - ARDEN WATER SERV,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Not At-Risk
CA3410005,RANCHO MURIETA COMMUNITY SERVI,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,Not At-Risk
CA3410007,DEL PASO MANOR COUNTY WATER DI,0,0.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Not At-Risk
CA3410012,CALAM - ISLETON,0,0.5,0,0,0,1,0,1,0, ,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3410022,OLYMPIA MOBILODGE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,Not At-Risk
CA3410026,CALIFORNIA STATE FAIR,0,0,0,0,0,0,0,1,0,0,1, , ,0,1,0,0,0,0,Not At-Risk
CA3410030,"FOLSOM, CITY OF - ASHLAND",0,0,0,0,0,0,1,0,0.5, ,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3410032,FOLSOM STATE PRISON,0,0,0,0,0,0,1,1,1,0,0, ,0,0,0,0,0,0,1,Potentially At-Risk
CA3410033,FLORIN COUNTY WATER DISTRICT,0,0,0,0,0.25,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,Not At-Risk
CA3410045,CALAM - ARDEN,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,Not At-Risk
CA3410047,CALAM - WALNUT GROVE,0,0.5,0,0,0,1,0,1,0, ,1,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3500006,CSA NO. 31 STONEGATE WS,0,0.5,0,0,0.25,0,0,1,0,0,0,1,1,0,1,0,0,0,1,Potentially At-Risk
CA3500505,THOUSAND TRAILS SAN BENITO PRESERVE,0,0.5,0,0.5,0.25,0,0,1,0,0,0, , ,0,1,0,0,0,0,Not At-Risk
CA3500507,BITTERWATER-TULLY SCHOOL WS,0,0,0,0, ,0,1,1,1,1,0, ,0,0,1,0,0,0,0,At-Risk
CA3500509,TRES PINOS CWD,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500510,MCMAHON ROAD MUTUAL WATER COMPANY,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500511,CASA DE FRUTA ORCHARDS,0,0,0,0,0,0,1,1,1,1,0, ,0,0,1,0,0,0,0,At-Risk
CA3500521,SOUTHSIDE ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1,0.25,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA3500524,RIVER OAKS R.V.P.,0,0.5,0,0,0,1,1,1,1, ,0, ,0,0,1,0,1,0,0,At-Risk
CA3500527,VALENZUELA WATER SYSTEM,0,1,0,0,0.25,1,1,1,1,0.25,0,0,0,0,1,0,0,0,0,At-Risk
CA3500549,ROSA MORADA MUTUAL WATER COMPANY,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500550,SAN JUSTO MUTUAL WATER COMPANY,0,0,0,0,0,0,1,1,1, ,0, ,0,0,1,0,0,0,0,Not At-Risk
CA3500552,VENTURE ESTATES MWC,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500556,MISSION FARM R.V. PARK,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA3500571,SAN BENITO HIGH SCHOOL,0,0,0,0, ,0,0,0,0,0,0, , ,0,1,0,0,0,0,Not At-Risk
CA3500575,SPRINGWOOD ESTATES MWC,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500576,AROMAS HILLS MUTUAL WATER ASSOCIATION,0,0,0,0,0.25,0,1,1,1,0,1,0.75,0.5,0,1,0,0,0,0,At-Risk
CA3500578,LOS MADRONES MWC,0,0.5,0,0,0.25,0,0,1,0,1,0,1,1,0,1,0,0,0,0,Potentially At-Risk
CA3500579,VINEYARD ESTATES MWC,0,0,0,0,0.5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3500581,RANCHO SAN JOAQUIN MWC,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500801,WILLOW GROVE UNION ELEMENTARY SCHOOL,1,0.25,0,0, ,0,1,1,1,0.25,0, , ,0,1,0,0,0,0,At-Risk
CA3500810,WHISPERING PINES INN,0,0,0,0.5,0.25,1,1,1,1,0.25,0,0, ,0,1,0,0,0,0,HR2W
CA3500823,BEST ROAD MWC,0,0.5,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA3500825,UNION HEIGHTS MWC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500830,FALLON ROAD LABOR HOUSING,0,0,0,0, ,0,1,1,1, ,0, ,0,0,1,0,1,0,0,Potentially At-Risk
CA3500836,BETABEL RV RESORT,0,0,0,0,0.25,0,1,1,1,1,0, ,0,0,1,0,0,0,0,At-Risk
CA3500900,ASHFORD HIGHLANDS MWC,0,0.5,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0,0,0,Not At-Risk
CA3500904,HOLLISTER RANCH ESTATES,0,0.5,0,0,1,1,0,1,0,0,0,0.75,0.5,0,1,0,0,0,0,At-Risk
CA3500905,ANZAR HIGH SCHOOL,0,0.25,0,0, ,0,0,0,0,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA3500910,DUNNEVILLE ESTATES CSA #50,0,0,0,0,0,0,0,1,0,0,0,0.75,0.5,0,1,0,0,0,0,Not At-Risk
CA3500911,CREEKBRIDGE MUTUAL WATER COMPANY,0,0,0,0,0.25,0,1,1,1,0,0,0.75,0.5,0,1,0,0,0,0,Potentially At-Risk
CA3500912,COMSTOCK MUTUAL WATER COMPANY,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3500923,FAIRVIEW ROAD WATER SYSTEM,0,0.25,0,0.5,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,HR2W
CA3500930,BENITO VALLEY FARMS,0,0,0,0, ,0,0,1,0, ,0, , ,0,1,0,1,0,0,Not At-Risk
CA3510002,"SAN JUAN BAUTISTA, CITY OF",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3510004,AROMAS WATER DISTRICT,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3510006,MISSION OAKS MOBILE HOME PARK,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA3600008,APPLE VALLEY FOOTHILL CWD,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600009,APPLE VALLEY HEIGHTS CWD,0,0.5,0,0,0,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA3600010,LIBERTY UTILITIES APPLE VALLEY,0,0,0,0,0,0,1,1,1,0,0,0.75,0,0,1,0,0,0,0,Potentially At-Risk
CA3600012,APPLE VALLEY VIEW MWC,0,0,0,0,0,1,0,1,0,0,0,0.75,0,0,1,0,0,0,0,HR2W
CA3600022,BAKER COMMUNITY SERVICES DISTRICT,0,0.5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,At-Risk
CA3600025,BAR-LEN MWC,0,0.5,0,0,1,1,0,1,0,0,0,0,0, ,1,0,0,0,0,HR2W
CA3600027,"BAR ""H"" MWC",0,1,0,0.5,0,1,0,1,0,0,0,0.75,0,0,1,0,1,0,0,HR2W
CA3600031,BIG PINE TRACT,0,0,0,0,0.25,0,0,1,0,0.25,0,1,0.5,0,1,0,0,0,0,Not At-Risk
CA3600064,CAMP WATERMAN MWC,0,0,0,0,0.25,0,0,1,0,0.25,0, ,0,0,1,0,0,0,0,Not At-Risk
CA3600070,CENTER WATER CO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Not At-Risk
CA3600071,CHAMISAL MWC,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,At-Risk
CA3600086,DAGGETT COMM SVCS DIST,0,0.5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA3600087,DEER LODGE WATER SYSTEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600088,DESERT DAWN MWC,0,0,0,0,0.25,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA3600089,DESERT SPRINGS MWC,0,0,0,0,0,0,0,1,0,0,0,0,0, ,1,0,0,0,0,Not At-Risk
CA3600094,DOGWOOD BLUE JAY CYN IMP,0,0.5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600107,FOREST PARK MWC,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600108,GLEN HELEN WATER SYSTEM,0,0,0,0,0,0,0,1,0,1,0, , ,0,1,0,0,0,0,Not At-Risk
CA3600114,CSA 70 W-3 HACIENDA,0,0,0,0,1,1,0,1,0,0.25,0,0.75,0,0,1,0,0,0,0,HR2W
CA3600123,HI DESERT MWC,0,0,0,0,0.25,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600139,JUBILEE MWC,0,0.25,0,0,0.5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3600152,LOMA LINDA UNIVERSITY,0,0,0,0,0,0,0,1,0,0,0, , ,0,1,0,0,0,0,Not At-Risk
CA3600155,RIVER RANCH MHP,0,0.25,0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,HR2W
CA3600156,LUCERNE VALLEY MWC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600157,LUCERNE VISTA MWC,0,0,0,0,0.25,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA3600158,LYTLE SPRINGS WC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600166,MILL CREEK MSC,0,0,0,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600172,MP MINE OPERATIONS LLC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600180,NAVAJO MWC,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600184,NORTH SHORE MWC,0,0.5,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,At-Risk
CA3600185,OAK GLEN DOMESTIC WATER,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600187,OLIVE DELL RANCH,0,0,0,0,0,0,0,1,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA3600196,CSA 70 W-4 PIONEERTOWN,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA3600200,RANCHERITOS MWC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600209,ROCKY COMFORT MUTUAL WATER CO,0,0,0,0,0.25,0,1,0,0.5,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600215,GILBERT STREET COMPLEX,0,0,0,0,0.25,0,1,1,1,0,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA3600220,CSA 42 ORO GRANDE,0,0,0,0,0,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA3600222,JUNIPER RIVIERA CWD,0,0.5,0,0,0.25,1,0,1,0,0,0,0,0,0,1,0,0,1,0,HR2W
CA3600226,CSA 70-F MORONGO,0,0.5,0,0,1,1,0,1,0,0,0,0.75,0,0,1,0,0,0,0,HR2W
CA3600258,SKY FOREST MWC,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600260,SMILEY PARK COUNTRY CLUB,0,0,0,0,0.5,0,0,0,0,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA3600262,SNOWCREST HEIGHTS IMP ASSOC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600270,GOLDEN STATE WATER MORONGO DELNORTE,0,0.25,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,At-Risk
CA3600279,GOLDEN STATE WATER DESERT VIEW,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600283,DEPARTMENT OF WATER AND POWER,0,1,0,0,0.5,0,0,1,0, ,0,0,0,0,1,0,1,0,0,Potentially At-Risk
CA3600297,GORDON ACRES WATER CO,1,1,0,0,0.25,0,0,1,0,0,0,1,0,0,1,0,0,0,0,At-Risk
CA3600301,STRAWBERRY LODGE MWC,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600306,THUNDERBIRD CWD,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Potentially At-Risk
CA3600308,FREEDOM ACRES THE RESORT,0,0,0,0,0,0,0,1,0,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA3600345,WEST END MWC,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA3600372,PALMS RIVER RESORT,0,0.5,0,0,0,0,0,1,0,0,0,0,0, ,1,0,0,0,0,Not At-Risk
CA3600382,MWD OF SO CAL IRON MOUNTAIN,0,0,0,0,0,0,1,1,1,0,0,0, ,0,1,0,0,0,1,Potentially At-Risk
CA3600383,MWD OF SO CAL GENE PLANT,0,0,0,0,0,0,1,1,1,0,0,0, ,0,1,0,0,0,1,Potentially At-Risk
CA3600385,BROOKSIDE MHP,0,0,0,0,0,0,1,1,1,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA3600386,FOOTHILL ESTATES MHP,0,0,0,0,0,0,1,1,1,0.25,0,0,0,0,1,0,1,0,0,Potentially At-Risk
CA3600388,DESERT VIEW MOBILE PARK,0,0,0,0,0,0,0,1,0,0,0,0, ,0,1,0,1,0,0,Not At-Risk
CA3600391,HILLCREST MOBILE ESTATES,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,HR2W
CA3600397,MOSS MOBILE MANOR,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,1,0,0,0,Potentially At-Risk
CA3600399,PARADISE MOBILE ESTATES,0,0,0,0,0.25,0,1,1,1,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600400,APPLE VALLEY VILLAGE MHE,0,0,0,0,0,0,1,1,1,0.25,0,0, ,0,1,0,0,0,0,Not At-Risk
CA3600432,LUCERNE VALLEY ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1, ,0, ,0,0,1,0,1,0,0,At-Risk
CA3600446,UPPER LITTLE BEAR MOUNTAIN CLUB,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,Not At-Risk
CA3600504,KNOLL ENTERPRISES,0,0.5,0,0,1,1,0,1,0,0,0, , ,0,1,0,0,0,0,HR2W
CA3600785,LAKE JODIE WATER SYSTEM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3600790,NEWBERRY ELEMENTARY SCHOOL,0,0,0,0, ,0,1,1,1, ,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA3601010,CRYSTAL LAKE PROPERTY OWNERS,0,0.5,0,0,1,0,0,1,0,0,0,0, ,0,1,0,0,0,0,Not At-Risk
CA3601015,IRONWOOD CAMP,0,0,0,0.5,1,1,0,1,0,0,0, , ,0,1,0,0,0,0,HR2W
CA3601036,CALICO LAKE HOMEOWNERS,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3601045,BEAR VALLEY MHP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3601048,BARTON FLATS WATER SYSTEM,0,0,0,1, ,0,1,1,1, ,0, ,0,0,1,0,0,1,1,At-Risk
CA3601057,MOUNTAIN VIEW CONTINUATION SCHOOL,0,0,0,0, ,0,1,1,1, ,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA3601085,RANCHO PINO VERDE,0,0,0,0,0,0,1,1,1,0,0, , ,0,1,0,0,0,0,Potentially At-Risk
CA3601095,LUCERNE VALLEY HIGH SCHOOL,0,0,0,0, ,0,1,1,1, ,0, ,0,0,1,0,0,0,0,Potentially At-Risk
CA3601179,EL MIRAGE SCHOOL,0,0.5,0,0, ,0,0,1,0, ,0, , ,0,1,0,0,0,0,Not At-Risk
CA3601182,HIGH DESERT DETENTION CENTER,0,0,0,0,0,1,0,0,0,0,0, , ,0,1,0,0,0,1,Potentially At-Risk
CA3610002,ALPINE WATER USERS ASSOCIATION,0,0.25,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,1,1,0,At-Risk
CA3610009,BIGHORN - DESERT VIEW WATER AGENCY,0,0,0,0,0.25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Not At-Risk
CA3610011,CEDARPINES PARK MWC,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610016,GLEN MARTIN MWC,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3610017,HAVASU WC,0,0,0,0.5,0.25,0,1,1,1,0,0,1,0,0,1,0,0,0,1,HR2W
CA3610021,FALLSVALE SERVICE COMPANY,1,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Potentially At-Risk
CA3610022,DWP - FAWNSKIN,0,0,0,0,0,0,0,1,0, ,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610023,GREEN VALLEY MWC,0,0.5,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Not At-Risk
CA3610026,SBDNO COUNTY SERVICE AREA 70 CEDAR GLEN,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Not At-Risk
CA3610028,MARYGOLD MWC,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not At-Risk
CA3610030,MARIANA RANCHOS CWD,0,0.25,0,0,0.25,0,0,1,0,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA3610031,MUSCOY MWC NO. 1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610032,"NEEDLES, CITY OF",0,1,0,0.5,0,0,0,1,0,0,0,0.75,0,0,0,0,0,0,0,HR2W
CA3610033,MT BALDY HOMEOWNERS ASSN.,0,0,0,0,0.25,0,0,1,0,0,0,0.75,0,0,1,0,0,1,0,Potentially At-Risk
CA3610045,LACSD - RIMFOREST,0,0,0,0,0,0,1,0,0.5,0,0,0.75,0,0,1,0,0,0,0,Not At-Risk
CA3610046,VALLEY VIEW PARK MWC,0,1,0,0,0,0,0,0,0,0,0, ,0,0,1,0,1,0,0,Not At-Risk
CA3610047,GOLDEN STATE WATER CO - WRIGHTWOOD,0,0.25,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610048,TERRACE WATER COMPANY,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Not At-Risk
CA3610051,VALLEY OF ENCHANTMENT MWC,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,Not At-Risk
CA3610053,WESTERN HEIGHTS WATER COMPANY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610060,BDVWA - GOAT MOUNTAIN ID,0,0,0,0,0,0,0,1,0,0,0,0.75,0,1,0,0,0,0,0,Not At-Risk
CA3610062,RUNNING SPRINGS WATER DISTRICT,0,0.5,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,Not At-Risk
CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,0,0.5,0,0,1,1,0,1,0,0.25,0,0,0,0,0,0,0,0,0,At-Risk
CA3610082,SAN ANTONIO CANYON MSC,0,0,0,0,0.25,0,0,1,0,0.25,0,0.75,0,0,1,0,1,0,0,Not At-Risk
CA3610085,SAN ANTONIO WATER COMPANY,0,1,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610093,ARROWHEAD VILLAS MUTUAL SERVICE COMPANY,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Not At-Risk
CA3610105,GOLDEN STATE WATER CO - APPLE VLY NORTH,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610107,GOLDEN STATE WATER CO - APPLE VLY SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not At-Risk
CA3610108,GOLDEN STATE WATER CO - LUCERNE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Not At-Risk
CA3610109,SHEEP CREEK WATER COMPANY,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,Not At-Risk
CA3610110,ARROWBEAR PARK CWD,0,0.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Potentially At-Risk
